TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
ESSENTIALS OF GENETICS:	ESSENTIALS OF CELL BIO 0.11362303741453703,MOLECULAR AND CELLULAR NEUROBIOLOGY 0.13084580774830423,INTRO TO QM II 0.10745511715635896,INTRO TO BIOTECHNOLOGY 0.11795842876815997,ESSENTIALS OF PHYSIOLOGY 0.1465646020789581,ADVANCED EVOLUTION 0.18886381306449673,INTRO. MOLEC. BIOL. LAB 0.12194291797287367,MOLEC PHYSIOL&CELL ENGR 0.11643657667119382,ADVANCED DEVELOPMENTAL PHYSIOLOGY AND PATHOPHYSIOLOGY 0.14230820872763666,CANCER CELL BIOLOGY 0.16950604293827154,BIOLOGICAL CHEMISTRY II 0.17794872711928503,INTRO BIOLOGY A 0.25359809917937154,MOLEC. BIOL. & GENETICS 0.7577648115263597,MODELING BIOL SYSTEMS 0.30054812299721234,MOLEC. BIOL. & GENETICS 0.7577648115263597,CELL BIOLOGY 0.14593955682202503,COMPUTATIONAL MATLS SCI 0.11405201427407878,INTRO BIOLOGY A 0.25359809917937154,ADVANCED EVOLUTION 0.18886381306449673,INTRO TO QM II 0.10745511715635896,INTRO. MOLEC. BIOL. LAB 0.12194291797287367,INTRO BIO-MOLEC BIO LIFE 0.2698493041158596,CANCER CELL BIOLOGY 0.16950604293827154,INTRO BIOLOGY A 0.25359809917937154,
REHEARSAL & PERFORMANCE: Fefu and her friends by Maria Irene Fornes:	CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.11222801170306815,ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SAHPE THE ARTS 0.27610379214499603,Advanced Acting: Scene Study 0.11705706793405453,THEATRE WORKSHOP: Contemporary Dance Performance Practice 0.12079623124911096,SENIOR PROJECT 0.1297054986333101,TOPICS RENAISSANCE DRAMA: ACTING SHAKESPEARE 0.16540796525254053,THE PLAY 0.1492037774482058,ADV TPCS IN THEATRE: ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SHAPE THE ARTS 0.27623103751465694,CU IN INDIA: CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.11027242340117654,AM DIPLO HIST SINCE 1776 0.10227179535103664,INTRO LIGHT,SET,COSTUME 0.12507947182885493,BEGINNING SITAR I 0.11821708730304956,CLASSICAL TO THE MIDDLE CLASS 0.14061644753261665,SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW 0.1038622657478654,CU IN INDIA - TECH INNOVATION IN SOUTH ASIA/INDIA: HISTORY AND PRACTICE 0.11027242340117654,PROVOCATIVE PERFORMANCE 0.14125389539325287,CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.11222801170306815,CU IN INDIA: CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.11027242340117654,INTRO LIGHT,SET,COSTUME 0.12507947182885493,
ORGANOMETALLICS:	PRINCIPLES OF ORG CHEM: Principles of Organic Chemistry with applications in Biomedical sciences 0.13613781779058,INORGANIC CHEMISTRY I 0.14391587730569788,ORGANIC REACTIONS 0.18193682645621656,
WAR AND REPRESENTATION:	CIVIL WARS 0.14015055896634498,RECENT AMER HIST 0.12975455173616018,TOLSTOY 0.16163836631462988,MODERN ARABIC LITERATURE: ARAB WOMEN & WAR 0.12474661761834892,KELLY WRITERS HOUSE SEMINAR, 2015:  A. WALDMAN, J. HAGEDORN, D. ALLISON 0.11777302466993142,COLD WAR: GLOBAL HISTORY 0.11485214576790173,CIVIL WARS 0.14015055896634498,INTL POLITICS MIDD EAST 0.14634036998119165,MODERN ARABIC LITERATURE: ARAB WOMEN & WAR 0.12474661761834892,US AND CHINA 1912-2012 0.12854974384189014,
INTRODUCTION TO CLAY: THE POTTER'S WHEEL AND BEYOND:	CLAY PRACTICES 0.1699874057202679,CLAY PRACTICES 0.1699874057202679,AMERICAN THEATRE-1960'S: Revolution in Performance, Politics and Ideas 0.10019564599397598,ADVANCED WHEEL STUDIO 0.27006323614246525,ADVANCED WHEEL STUDIO 0.27006323614246525,
PHIL & VISUAL PERCEPTION:	PAINTING PRACTICES 0.18604669369204954,PAINTING PRACTICES 0.18604669369204954,FIGURE PAINTING 0.14745284647789275,FIGURE PAINTING 0.14745284647789275,PAINTING PRACTICES 0.18604669369204954,
HISTORY LIT THEORY:	MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA 0.10754839966914195,RACE AND ETHNIC POLITICS 0.1128434687479089,LAW IN AFRICA 0.1294497765479212,INTRO LITERARY THEORY 0.14504516069086898,INTRO TO QUEER STUDIES: Introduction to Queer Studies 0.15729688364476335,TPCS: GENDR/SEXUALTY/LIT: QUEER ATTACHMENTS 0.10084334975715635,COLONIAL LATIN AMERICA 0.10277077557228441,TELEVISION AND NEW MEDIA 0.10779106100136616,MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA 0.10754839966914195,LITERATURE AND LAW 0.10592414707582194,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.10261349279431478,HISTORY LIT THEORY 0.9787939379875147,TPCS: GENDR/SEXUALTY/LIT: GENDER/PHOTOTEXUALITY 0.10084334975715635,MAIN CONCEPTS OF LITERARY AND CULTURAL THEORY FOR BEGINNERS 0.14504516069086898,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.10261349279431478,The US and Human Rights: Policies and Practices 0.12944977654792117,
The US and Human Rights: Policies and Practices:	CONTEMP BRAZILIAN CINEMA 0.30132195666519485,TOPICS GERMAN CINEMA: FRITZ LANG 0.18445074262032568,GERMAN CENTURY:1890-1990 0.23532720566502693,FEMINISM IN THE AMERICAS 0.23532720566502693,MLA Proseminar: Looking for Don Quixote 0.30245502433888777,INTRODUCTION TO AFRICANA STUDIES 0.24118161299420576,RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management 0.1460881461184748,VIOLENCE AND THE SACRED 0.11838060428634707,CREATIVE WRITING: Creative Writing:  Personal Essay/Fiction 0.18134641671021587,SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW 0.1811771860234339,TOPICS FILM STUDIES: MODERN SCI-FI CINEMA 0.182799650327437,HISTORY LIT THEORY 0.1284915354329164,TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE 0.27962368425249085,The Glorious "What If?": Writing Speculative Fiction 0.2359244303145976,IMPROVISED CITIES IN THE MODERN WORLD 0.23532720566502693,PLATO AND ARISTOTLE IN THE RENAISSANCE 0.11708523674573466,LAW IN AFRICA 0.7210149042495101,CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY 0.18134641671021587,REL&COL RULE IN AFRICA 0.23532720566502693,Food in Italian Culture: From Court Banquets to Food Trucks 0.24678682434988883,The City: Literary and Visual Tradition 0.24678682434988883,TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS 0.30132195666519485,POETRY AND POETICS: LOVE, MARRIAGE, & POETRY 0.10761788278816903,FLORENCE IN HISTORY 0.23532720566502693,SCIENCE AND LITERATURE 0.13137336005639264,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.1807689389408728,FLORENCE IN HISTORY 0.23532720566502693,The Holocaust - Representation and Silence 0.13137336005639264,The History of Women and Men of African Descent at the University of Penn 0.3818890295357918,HISTORY LIT THEORY 0.12944977654792117,CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.30245502433888777,Gabriel Garcia Marquez and Latin American Literature 0.30245502433888777,Food in Italian Culture: From Court Banquets to Food Trucks 0.24678682434988883,ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL. 0.16173897110711216,Food in Latin American History and Culture 0.30245502433888777,ITALIAN DRAMA AND THE PERFORMANCE OF A NATION 0.12344908781527121,Culture and Identity of the Lusophone World 0.30132195666519485,Culture and Identity of the Lusophone World 0.30132195666519485,After Odysseus. On Hospitality in France, North Africa & the Mediterranean 0.24071746451315218,IMMIGRANT URBAN LABOR IN THE U.S. 0.12106362536490836,Culture and Identity of the Lusophone World 0.30132195666519485,HISTORY LIT THEORY 0.12944977654792117,French Modernity and Its Discontents 0.185633978277755,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.204943904605039,ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET 0.16173897110711216,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.204943904605039,APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE 0.11460214868739792,(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL 0.24678682434988883,Sexuality, Terrorism, and Human Rights 0.2094601300570652,CONTEMPORARY ISSUES IN AMERICAN ANIMATION 0.17699944465284434,MODERN SCI-FI CINEMA 0.18017494254402416,TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS 0.30132195666519485,CONTEMP BRAZILIAN CINEMA 0.30132195666519485,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.30245502433888777,Telling It All: Women as Storytellers in Hispanic Fiction 0.30245502433888777,HISTORY AND THEORY OF ANIMATION 0.17699944465284434,
INTERMEDIATE ZULU II:	
TOPICS IN AESTHETICS:	BAD TASTE 0.11771041458627178,
FLUID MECHANICS:	Ocean-Atmosphere Dynamics and Implications for Future Climate Change 0.15240802030214592,Ocean-Atmosphere Dynamics and Implications for Future Climate Change 0.15240802030214592,CONTINUUM MECHANICS 0.1957706132491251,FLUID MECHANICS 0.2268256188751615,CONTINUUM MECHANICS 0.1957706132491251,ADVANCED DYNAMICS 0.11874970980332744,INTRO TO MECHANICS 0.12355658956926698,INTRO TO BIOTRANS PROCES 0.20028582700968783,MATERIAL&ENERGY BALANCES 0.158077870247498,INTRO TO BIOTRANS PROCES 0.20028582700968783,PARTIAL DIFFER EQUATIONS 0.12202014795369386,Ocean-Atmosphere Dynamics and Implications for Future Climate Change 0.15240802030214592,VISCOUS FLUID FLOW 0.2464424026944935,
CAPITAL MARKETS:	FIN STATEMENT & DIS ANA 0.11297874618395816,REAL ESTATE INVESTMENTS 0.1400102368541809,CAPITAL MARKETS 0.6762468241344172,ENERGY MARKETS & POLICY 0.11517127833576542,ENVIRON. & ENERGY ECON 0.11672000959052159,PRINCIPLES OF ACCOUNTING 0.11079153710684575,CORPORATE FNCE (HALF CU) 0.15270629030072047,FINANCIAL DERIVATIVES 0.18112887479010162,GLOBAL MONETARY AND FINANCIAL STABILITY POLICY 0.1091659035758272,CORPORATE FINANCE 0.16675079263226228,REAL ESTATE INVESTMENTS 0.1400102368541809,FINANCIAL ECONOMICS 0.14716837678381317,Nonprofit Financial Management 0.13626633595582954,FNCE IN MIDDLE EAST AND NORTH AFRICA 0.1478982391886256,ENERGY MARKETS & POLICY 0.11517127833576542,REAL ESTATE INVESTMENTS 0.14442160467715429,ENERGY MARKETS & POLICY 0.11517127833576542,CORPORATE FINANCE 0.16675079263226228,ASP-GLOBAL MONETARY AND FINANCIAL STABILITY POLICY 0.109900159036709,PRINCIPLES OF ACCOUNTING 0.11079153710684575,ENERGY MARKETS & POLICY 0.11618056954325347,ADVANCED CORP FINANCE 0.10997455701974453,ADVANCED CORP FINANCE 0.11093134795729359,
ELEMENTARY SWEDISH II:	WORLD FILM HIST TO 1945 0.1338927266200353,WORLD FILM HIST TO 1945 0.1338927266200353,Perspectives on International Cinema (Cannes Film Festival) 0.2403433013798946,INTERMEDIATE SWEDISH I 0.3421741604822662,WORLD FILM HIST TO 1945 0.1338927266200353,ELEMENTARY SWEDISH I 0.10914169282865065,ELEMENTARY SWEDISH I 0.10914169282865065,
MAT & METHODS MED ARCH:	INTRO TO ARCHAEOLOGY 0.13038502369231864,TOPOG & MON OF ANC ROME 0.1277488311650092,INTRO ARCHAEOLOGY 0.2994759756354543,ELECTRONIC LIT SEMINAR: ENVIRONMENTAL MEDIA 0.16330590467550657,GREAT DISCOV ARCHAEOLOGY 0.1496839614268134,SENIOR PROJECT 0.12366059382189659,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.2994759756354543,WRITING SEMINAR IN CLST: CLASSICAL MYTHOLOGY 0.10821334196067144,INTRO ARCHAEOLOGY: LECTURE 0.13038502369231864,Myths, Fraud and Science in Archaeology 0.11888503230147808,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.11287942815838019,GREAT TRANSFORMATIONS 0.1044073822736027,INTRODUCTION ARCHAEOLOGY 0.13038502369231864,ARCHAEOLOGY FIELD PROJEC 0.18445563561358982,INTRO TO ARCHAEOLOGY: LECTURE 0.13038502369231864,ELECTRONIC LIT SEMINAR: COPYRIGHT AND CULTURE 0.16330590467550657,GAME THEORY 0.10067227273850442,GREAT TRANSFORMATIONS 0.1044073822736027,ELECTRONIC LIT SEMINAR: MEDIA FANDOM 0.16330590467550657,COMMUNITY MATH TEACH PRO 0.11599157505636389,TPCS IN MEDIEVAL/REN ART: ART, POLITICS, AND POWER IN LATE MEDIEVAL AND RENAISSANCE FRANCE 0.10719798088970324,
THE RICH AND THE POOR:	
REAL ESTATE LAW:	REAL ESTATE DEVELOPMENT 0.2358492740359387,REAL ESTATE ENTREPRENEUR 0.3669876641755825,REAL ESTATE INVESTMENTS 0.4338521032887917,HISTORY OF AMERICAN LAW 0.12099184847058045,REAL ESTATE DEVELOPMENT 0.2358492740359387,INTRO TO REAL ESTATE 0.5854575776433485,URBAN FISCAL POLICY 0.12378695561561404,REAL ESTATE INVESTMENTS 0.4338521032887917,REAL ESTATE INVESTMENTS 0.44752168382361207,URBAN REAL ESTATE ECON 0.3522813210659863,ADVANCED ANALYSIS 0.11809296767884334,GIS APPLICATIONS IN SOCIAL SCIENCE 0.12349092396761592,PRINCIPLES OF RETAILING 0.1506286729229312,SECURITIES REGULATION 0.14323574175402182,REAL ESTATE ENTREPRENEUR 0.44698680952375663,GIS APPLICATIONS IN SOCIAL SCIENCE 0.12349092396761592,LITERATURE AND LAW 0.11726412538047351,REAL ESTATE DEVELOPMENT 0.2358492740359387,GRAPHIC DESIGN PRACTICUM 0.11230520518502776,ADV REAL EST INV, ANALYS 0.2591003643462257,
BIBLE IN TRANSLATION: BIBLE IN TRANSLTN:KINGS:	THE BIBLE IN MOVIES 0.13028425935287524,
INTRODUCTION TO MICRO ECONOMICS:	LABOR ECONOMICS 0.13761365688828778,AMERICAN CAPITALISM 0.10539989067438091,AMERICAN CAPITALISM 0.10539989067438091,INTERMED MICROECONOMICS 0.17298507710375205,INTERNATIONAL POL. ECON: International Political Economy 0.13967147287437826,INTERMED MICROECONOMICS 0.17298507710375205,TOPICS IN LOGIC 0.11078010927084234,STRATEGIC REASONING 0.14391500905642104,INTRODUCTION TO OPERATIONS MANAGEMENT 0.1036885237510846,INDUSTRIAL ORGANIZATION 0.17192599653663013,STRATEGIC REASONING 0.14391500905642104,MULTINATIONAL MANAGEMENT 0.1172132036684425,INDUSTRIAL ORGANIZATION 0.17192599653663013,INTERMED MICROECONOMICS 0.17298507710375205,GAME THEORY 0.14617227055472132,
PHILOSOPHY OF EDUCATION: AFFIRMATIVE ACTION:	TOPICS IN PHIL OF EDUC: SOCIO-POL PHIL OF EDUC 0.2351264332721345,PHILOSOPHY OF MIND: Artificial Intelligence 0.20969731965990368,TOPICS IN ETHICS 0.16768459991292983,URBAN EDUCATION 0.10415818031332622,HIST FOREIGN AID IN AFRC 0.10268508859511796,HISTORY OF MODERN PHILOS 0.13953784417278273,PHILOSOPHY OF MIND 0.16093619823272706,WHAT IS MEANING? 0.1886528658776793,CONTEMPORARY PHIL: Enhancing the Human Mind through Technology 0.1262322980017295,URBAN EDUCATION 0.10415818031332622,SURVEY OF ETHICAL THEORY 0.1880889993153115,WRITING SEMINAR IN EDUC: NATION OF IMMIGRANTS 0.13553614100433678,
ASP FIN-TECH:	
UNDERGRAD METHODS SEM:	Spiegel-Wilks Seminar: On the Eccentric Edges of Art 0.32980510185393785,ANCIENT MEDITERRANEAN: Textiles, Dress, and Bronze Age Interconnections 0.32980510185393785,ART OF THE WEB 0.10679769602050945,Religion & Visual Image: Seeing is Believing 0.10760878305510388,RDGS IN KOREAN HISTORY 0.32980510185393785,Art, Architecture, and Ideology under Totalitarian Regimes 0.32980510185393785,TOPIC IN GRECO-ROMAN ART: Arts of the Roman House, Villa and Palace 0.32980510185393785,BYZANTINE ART & ARCH 0.1298676562483495,EYE, MIND AND IMAGE 0.11592933633391012,MLA PROSEMINAR: ECO-CRITICISM, SUSTAINABILITY, AND THE HUMANITIES 0.10231641195933407,JAPANESE POPULAR CULTURE 0.11183230137732487,BYZANTINE ART & ARCH 0.1298676562483495,ART, DESIGN AND DIGITAL CULTURE 0.18131951541406577,VISUAL NARRATIVE 0.2121679543644381,TOPIC IN ANC IRANIAN ART: THE ARCHAEOLOGY OF THE PERSIAN GULF FROM THE NEOLITHIC TO THE ROMANS 0.32980510185393785,TOPICS IN S. REN ART: TERRESTRIAL IMAGINATION 0.32980510185393785,LANGUAGE OF DESIGN 0.11194995907955728,TOPICS IN MEDIEVAL ART: MIGRATING MATERIALITY: IVORY AROUND THE MEDITERRANEAN 0.32980510185393785,RENAISSANCE-CONTEMPORARY 0.197804632951703,TOPICS IN CLASSICAL ART: THE LATE ANTIQUE IMAGE 0.26655197169349093,TOPICS IN GREEK/ROM ART: ROMAN POLITICAL ART 0.26655197169349093,ART OF THE WEB 0.10679769602050945,TOPICS IN THEORY II 0.10245428564246162,The Social Life of Things: Art, Objects, and the Cultural Politics of Phila 0.32980510185393785,ART, DESIGN AND DIGITAL CULTURE 0.18131951541406577,ART OF THE WEB 0.10679769602050945,ART, DESIGN AND DIGITAL CULTURE 0.18131951541406577,RENAISSANCE-CONTEMPORARY 0.197804632951703,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.17434018031271747,INTRO VIS CULT ISLAM WLD 0.17675268535522498,INTRO VIS CULT ISLAM WLD 0.17675268535522498,
1ST YR CLASSICAL CHIN I:	EAST ASIAN GARDENS 0.10347944276527497,ADV SPOKEN MANDARIN II 0.11634702799681942,RDG CLASSICAL JAPANESE I 0.2333349246424978,BEGINNING CANTONESE II 0.10850801610772194,JAPANESE/PROFESSIONS I 0.1130787866000441,BEG RDG/WRTG CHINESE I 0.10673929792545317,ASIAN-AMERICAN LIT 0.1129420620813008,RDGS MOD CHINESE II:LIT 0.14275740653769045,JAPANESE/PROFESSIONS II 0.1130787866000441,
APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE:	CONTEMP BRAZILIAN CINEMA 0.254352155159271,INTRM MODERN HEBREW III 0.10756199033638189,TOPICS GERMAN CINEMA: FRITZ LANG 0.2021016667481405,MLA Proseminar: Looking for Don Quixote 0.35681687895004305,LIVING IN SCIENCE FICTION WORLD 0.6221185710178941,RADIATION BIOLOGY 0.10657159807082466,VIOLENCE AND THE SACRED 0.1850372706736539,TOPICS FILM STUDIES: MODERN SCI-FI CINEMA 0.20029257398111017,TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE 0.23471570680643025,PHYSICS-RADIATION THERAP 0.10657159807082466,The Glorious "What If?": Writing Speculative Fiction 0.24557745770793274,PLATO AND ARISTOTLE IN THE RENAISSANCE 0.33353295778749087,LAW IN AFRICA 0.11460214868739792,INTRM MODERN HEBREW III 0.10756199033638189,Food in Italian Culture: From Court Banquets to Food Trucks 0.29257376972064286,MOD HEB LIT & CULT TRANS: MODERN HEBREW LIT & CULTURE IN TRANSLATION: IMAGE OF HAIFA & OTHER CITIES 0.13769861772653907,The City: Literary and Visual Tradition 0.29257376972064286,TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS 0.254352155159271,POETRY AND POETICS: LOVE, MARRIAGE, & POETRY 0.19787711681645642,SCIENCE AND LITERATURE 0.3755292173679634,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.16992145217999363,The Holocaust - Representation and Silence 0.3755292173679634,The History of Women and Men of African Descent at the University of Penn 0.20237746492315128,The US and Human Rights: Policies and Practices 0.11460214868739792,CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.35681687895004305,Gabriel Garcia Marquez and Latin American Literature 0.35681687895004305,Food in Italian Culture: From Court Banquets to Food Trucks 0.29257376972064286,ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SAHPE THE ARTS 0.10135738020821487,ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL. 0.168356644048337,Food in Latin American History and Culture 0.35681687895004305,ITALIAN DRAMA AND THE PERFORMANCE OF A NATION 0.3516612387658263,Culture and Identity of the Lusophone World 0.254352155159271,Culture and Identity of the Lusophone World 0.254352155159271,After Odysseus. On Hospitality in France, North Africa & the Mediterranean 0.3587549791727265,IMMIGRANT URBAN LABOR IN THE U.S. 0.28276778401448827,Culture and Identity of the Lusophone World 0.254352155159271,French Modernity and Its Discontents 0.2904439214722265,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.1926457393065571,ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET 0.168356644048337,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.1926457393065571,INTRM MODERN HEBREW III 0.10756199033638189,(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL 0.29257376972064286,Sexuality, Terrorism, and Human Rights 0.1462872208446092,CONTEMPORARY ISSUES IN AMERICAN ANIMATION 0.1939373204447765,MODERN SCI-FI CINEMA 0.16936310000437335,TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS 0.254352155159271,ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing 0.2819205323574131,INTRM MODERN HEBREW III 0.10756199033638189,CONTEMP BRAZILIAN CINEMA 0.254352155159271,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.35681687895004305,Telling It All: Women as Storytellers in Hispanic Fiction 0.35681687895004305,HISTORY AND THEORY OF ANIMATION 0.1939373204447765,
ELEM TURKISH II:	INTERMEDIATE GERMAN II 0.11610918008048048,ELEMENTARY LATIN I 0.14657383650264677,ELEMENTARY GERMAN II 0.6078928826765538,ACCELERATED INTERMD GRMN 0.1105508816185707,ADVANCED PROFICIENCY II 0.1112266874452113,ADVANCED PROFICIENCY II 0.1112266874452113,INTERMED VIETNAMESE II 0.10167926259550614,ACCELERATED INTERMD GRMN 0.1105508816185707,INTERMEDIATE GERMAN I 0.10565118187025517,INTERMEDIATE GERMAN I 0.10565118187025517,INTERMEDIATE RUSSIAN I 0.10576962809265458,ELEMENTARY TURKISH I 0.3705399063620746,ELEMENTARY TURKISH I 0.3705399063620746,ELEMENTARY KOREAN II 0.15124354833145084,ELEMENTARY TURKISH I 0.3705399063620746,ELEMENTARY GERMAN II 0.6078928826765538,
ANIMALS IN SCI MED TECH:	ANIMALS IN SCI MED TECH 0.5349831094948758,CELL SIGNALING 0.1040151611444897,INTRO BIO-MOLEC BIO LIFE 0.12080424776099831,ANIMAL PHYSIOLOGICAL AND POPULATION ECOLOGY 0.20252671935487543,
PEDIATRIC NURSING:	WELL WOMEN HEALTH CARE, THEORY 0.1372853574175466,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.16977991010553686,MANAGING LIFE-THREATENING ILLNESS FROM A PALLIATIVE CARE PERSPECTIVE 0.10158961837619446,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.1474979956832087,CASE STUDY: CANCER 0.15136290819604253,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.2247925111885369,PRECEPTORSHIP IN CLIN BE 0.12126284705967795,PROSEMINAR IN NURSING INNOVATION 0.17656657113180083,HEALTH CARE SYSTEMS 0.13005969683647334,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1435688387907563,CLINICAL FIELDWORK FOR NURSE ANESTHESIA PRACTICE II 0.1337468646969668,PSYCHOPHARMACOLOGY ACROSS THE LIFESPAN 0.16289701053257002,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE 0.1366983028180482,PRINCIPLES OF PALLIATIVE CARE 0.2564830455968689,CONCEPTS IN HEALTHCARE ECONOMICS 0.22746827012305396,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10699388243463222,NURSING OF WOMEN AND INFANTS 0.18404787368801404,CASE STUDY: BREAST FEEDING & HUMAN LACTATION 0.11666406378290117,NURSING ADMINISTRATION PRACTICUM 0.12761982397974,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.30536823633009286,CASE STUDY: CANCER 0.15136290819604253,Advanced Principles of Nurse Anesthesia Practice: Obstetrics, Pediatrics 0.18098894281234515,INTEGRATING CLASSROOM AND CLINICAL PEDAGOGIES IN NURSING EDUCATION 0.14113658518758948,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.10023657001733494,HEALTH CARE SYSTEMS 0.13005969683647334,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.193281755457029,NURSING IN THE COMMUNITY 0.37244735990734656,WELL WOMEN HEALTH CARE, THEORY 0.1372853574175466,PRINCIPLES OF PALLIATIVE CARE 0.2564830455968689,LEADERSHIP, ADVOCACY, AND THE PRACTICE OF INTEGRATED NURSING CARE OF ASD 0.16358302596946592,CROSS CULTRL APPR HEALTH 0.11529031217768462,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.23676531998524922,INTRO TO MED ANTHRO 0.1092540715372463,HEALTH & BEHAVIORAL CARE PLANNING & INTERVENTION FOR AUTISM SPECTRUM DISORD 0.22067575080172033,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.1516322210911098,SITUATING THE PRACTICE OF NURSING 0.10695528568864758,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.5420844376261602,INTEGRATION I 0.21564078588985586,CNS CLINICAL II: CLINICAL NURSE SPECIALIST: CLINICAL II (280 CLINICAL HOURS) 0.11885889133510423,AUTISM EPIDEMIC 0.10833747819976951,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.2247925111885369,CHILD AND ADOLESCENT MENTAL HEALTH 0.12987519620703125,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.16977991010553686,INTRO TO MED ANTHRO 0.1092540715372463,HC MGMT&STRAT 0.10909088616923068,CLINICAL PRACTICUM: CRITICAL CARE NURSING OF CHILDREN III 0.1680125008940511,CLINIC 0.14139115829460241,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1435688387907563,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.14716741198490202,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.5420844376261602,HEALTH SERVICES SYS 0.16604190213113657,PUBLIC POLICY AND THE NATION'S HEALTH 0.1647870976777443,HIGH RISK NEONATAL THEORY II 0.10326776039783793,
